CustomerID,Age,Gender,Annual_Income,Spending_Score,Membership_Level,Region,Product_Category,Purchase_Frequency,Last_Purchase_Days,IsActive,Satisfaction_Score
1,56.0,Male,38794.0,66,Basic,South,Electronics,16,311,0,8
2,69.0,Female,50653.0,76,Gold,West,Groceries,10,12,0,7
3,46.0,Female,48977.0,91,Basic,West,Clothing,16,211,1,10
4,32.0,Male,53451.0,69,Basic,South,Clothing,5,244,1,1
5,60.0,Male,17133.0,37,Silver,South,Clothing,3,239,0,3
6,25.0,Female,44973.0,27,Basic,South,Furniture,3,197,1,3
7,38.0,Female,66872.0,87,Gold,East,Furniture,2,257,0,3
8,56.0,Female,68981.0,33,Silver,East,Clothing,4,235,1,4
9,36.0,Female,35130.0,68,Platinum,West,Clothing,18,187,1,1
10,40.0,Female,63808.0,59,Silver,South,Groceries,2,201,0,2
11,28.0,Female,,64,Basic,East,Groceries,6,103,1,5
12,,Female,44382.0,85,Platinum,North,Electronics,3,290,0,6
13,41.0,Male,45170.0,88,Silver,North,Groceries,3,221,0,9
14,53.0,Female,51632.0,44,Basic,South,Electronics,2,302,1,2
15,57.0,Female,65020.0,95,Silver,East,Electronics,3,187,1,9
16,41.0,Male,53968.0,88,Gold,North,Electronics,17,99,1,7
17,20.0,Female,48108.0,49,Basic,West,Furniture,14,245,0,9
18,39.0,Female,64509.0,53,Gold,North,Groceries,7,313,0,4
19,19.0,,37960.0,74,Basic,West,Clothing,6,307,0,7
20,41.0,Female,48841.0,49,Gold,North,Electronics,8,22,1,1
21,61.0,Male,64936.0,66,Platinum,North,Clothing,19,68,1,8
22,47.0,Male,,95,Gold,East,Electronics,19,316,1,7
23,55.0,Male,,63,Silver,North,Groceries,12,65,1,7
24,19.0,Male,27305.0,25,Basic,North,Electronics,5,292,0,2
25,38.0,Female,54662.0,4,Silver,West,Groceries,5,217,1,10
26,50.0,Male,26319.0,51,Gold,West,Clothing,14,29,0,9
27,29.0,Male,46812.0,11,Basic,North,Groceries,17,193,0,8
28,39.0,Female,67684.0,17,Gold,South,Clothing,16,56,0,1
